WineID,Type,FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,Quality
1892,White,6.76,0.42,0.4,11.4,0.062,11.6,132.1,0.9937,3.26,0.46,11.6,7
1893,White,7.42,0.3,0.27,2.71,0.063,57.9,94.3,0.9973,3.11,0.43,11.2,6
1894,White,7.36,0.2,0.23,3.61,0.048,25.2,149.1,0.99,3.07,0.37,10.3,7
1895,White,5.55,0.45,0.27,3.63,0.047,46.0,255.0,0.9947,3.14,0.25,10.13,6
1896,White,7.01,0.22,0.4,6.03,0.035,42.9,136.0,0.9965,3.3,0.24,11.74,6
1897,White,5.82,0.2,0.24,10.47,0.009,23.5,74.7,0.9944,3.28,0.6,10.63,6
1898,White,8.18,0.46,0.4,1.73,0.064,52.0,128.3,0.9946,3.06,0.41,11.18,5
1899,White,5.72,0.17,0.19,3.21,0.029,66.8,113.6,0.9993,3.1,0.41,10.37,6
1900,White,6.58,0.16,0.33,9.34,0.082,38.2,196.3,0.9888,3.07,0.35,11.26,6
1901,White,7.5,0.23,0.36,6.68,0.055,40.2,109.6,0.993,3.1,0.37,11.27,5
1902,White,5.52,0.46,0.35,3.06,0.042,58.2,181.9,0.9955,3.16,0.45,13.01,7
1903,White,6.3,0.34,0.35,2.81,0.038,30.8,87.5,1.0007,3.13,0.52,10.99,6
1904,White,7.4,0.38,0.08,16.2,0.057,10.9,88.7,0.9944,3.22,0.53,10.21,5
1905,White,7.49,0.32,0.46,15.18,0.052,46.9,154.9,0.9965,3.1,0.52,11.86,6
1906,White,7.36,0.29,0.22,10.98,0.069,37.9,167.8,0.9883,3.19,0.31,12.85,7
1907,White,6.73,0.3,0.32,5.56,0.054,12.0,105.4,0.9983,3.32,0.4,11.28,5
1908,White,7.4,0.34,0.51,5.64,0.037,23.7,107.2,0.9978,3.23,0.55,11.79,6
1909,White,7.64,0.35,0.46,12.34,0.05,29.9,100.9,0.9948,3.05,0.5,12.4,8
1910,White,5.64,0.32,0.22,3.75,0.032,33.7,187.7,1.0003,3.01,0.42,11.15,5
1911,White,6.97,0.37,0.29,8.53,0.041,28.6,170.0,0.9963,3.27,0.58,12.46,6
1912,White,7.1,0.35,0.4,2.91,0.069,34.7,108.5,0.9945,2.96,0.63,11.74,6
1913,White,6.67,0.36,0.36,2.63,0.016,28.0,131.4,0.99,3.14,0.6,10.21,5
1914,White,7.41,0.44,0.39,5.49,0.013,11.3,174.2,0.9979,3.08,0.43,11.09,5
1915,White,7.54,0.19,0.42,2.42,0.103,16.5,205.2,0.9886,2.89,0.64,10.93,5
1916,White,6.58,0.15,0.22,0.6,0.018,57.3,139.8,0.992,3.25,0.27,10.68,6
1917,White,7.4,0.45,0.39,5.56,0.052,44.7,160.7,0.993,3.21,0.4,12.02,7
1918,White,6.85,0.4,0.32,5.7,0.038,19.2,218.8,0.9976,3.24,0.42,12.33,7
1919,White,6.24,0.42,0.72,7.5,0.034,3.2,154.2,0.9929,3.38,0.5,11.39,7
1920,White,6.64,0.28,0.28,10.84,0.119,21.9,155.0,0.9971,3.09,0.63,9.64,6
1921,White,7.44,0.39,0.42,6.08,0.057,11.0,128.3,0.9967,3.39,0.43,10.38,6
1922,White,7.35,0.32,0.4,15.98,0.038,6.8,162.8,0.9941,3.18,0.37,10.97,4
1923,White,6.23,0.25,0.34,0.6,0.051,34.2,177.0,0.99,3.44,0.66,11.24,6
1924,White,6.39,0.16,0.16,13.51,0.03,6.0,109.4,0.9957,3.28,0.46,10.28,5
1925,White,7.04,0.41,0.22,1.34,0.056,43.7,102.4,0.9952,3.28,0.41,10.66,5
1926,White,6.7,0.34,0.19,9.61,0.052,54.3,203.5,0.9945,3.13,0.45,10.3,4
1927,White,6.47,0.29,0.21,10.97,0.011,47.8,153.4,0.9953,3.04,0.33,8.97,6
1928,White,7.29,0.3,0.2,2.17,0.038,27.1,176.2,0.9924,3.29,0.94,10.89,5
1929,White,6.06,0.21,0.26,3.81,0.02,48.7,179.9,0.9959,3.13,0.49,11.98,6
1930,White,6.2,0.39,0.42,5.39,0.029,30.5,186.5,0.9899,3.08,0.61,11.38,5
1931,White,7.62,0.18,0.33,13.46,0.042,21.8,204.1,0.9936,3.18,0.42,11.83,5
1932,White,6.67,0.22,0.47,11.85,0.067,52.7,124.0,0.9968,3.24,0.41,12.58,7
1933,White,6.94,0.33,0.24,4.86,0.024,22.0,154.9,0.9939,2.97,0.5,10.94,5
1934,White,6.18,0.2,0.25,0.6,0.019,32.6,148.4,0.99,3.04,0.48,11.05,7
1935,White,8.22,0.39,0.05,5.46,0.009,22.4,62.1,0.9924,3.06,0.53,9.82,7
1936,White,6.78,0.28,0.57,1.5,0.031,32.4,163.0,0.99,3.47,0.42,13.21,7
1937,White,5.8,0.16,0.44,13.91,0.018,32.8,185.4,0.9917,3.43,0.44,10.32,6
1938,White,7.52,0.35,0.3,10.51,0.056,55.0,187.2,0.9925,3.25,0.66,9.11,5
1939,White,6.45,0.43,0.21,11.87,0.036,44.1,238.2,0.9975,3.31,0.22,10.48,5
1940,White,5.94,0.13,0.14,8.61,0.052,62.4,152.1,0.9968,3.17,0.46,12.0,6
1941,White,5.26,0.29,0.5,2.6,0.009,27.8,59.2,0.9976,3.16,0.61,11.01,6
1942,White,6.78,0.3,0.27,6.69,0.055,66.9,65.7,0.9919,3.19,0.41,12.34,5
1943,White,5.77,0.09,0.35,5.89,0.029,18.7,120.2,0.9957,3.21,0.37,11.79,6
1944,White,6.52,0.27,0.2,0.6,0.027,47.0,87.0,0.9918,3.01,0.48,10.24,6
1945,White,7.77,0.08,0.24,4.72,0.045,24.7,82.4,0.9961,3.36,0.64,11.37,6
1946,White,7.18,0.28,0.28,7.77,0.042,34.3,160.0,0.9911,3.11,0.57,11.56,6
1947,White,6.0,0.5,0.34,9.51,0.032,17.8,81.0,0.9928,3.45,0.54,12.08,6
1948,White,7.34,0.34,0.37,4.64,0.05,39.6,123.3,0.9962,3.27,0.6,10.41,5
1949,White,7.52,0.31,0.18,4.17,0.064,18.0,100.8,1.0001,3.02,0.28,12.96,6
1950,White,6.13,0.21,0.18,5.79,0.034,20.9,177.4,0.9952,3.2,0.69,9.84,5
1951,White,6.33,0.26,0.22,13.67,0.019,38.0,183.8,0.9937,3.27,0.49,8.92,6
1952,White,7.03,0.29,0.18,3.12,0.034,25.1,111.8,0.9951,2.88,0.59,11.41,6
1953,White,7.22,0.29,0.34,6.57,0.017,2.0,9.0,0.9968,3.18,0.49,12.39,6
1954,White,5.9,0.27,0.34,2.93,0.029,19.2,221.0,0.9948,3.02,0.54,9.47,5
1955,White,7.28,0.33,0.12,4.98,0.009,38.6,149.6,0.9935,3.07,0.6,9.67,6
1956,White,7.27,0.17,0.22,14.87,0.012,18.6,115.7,0.9966,3.2,0.38,12.02,6
1957,White,7.16,0.32,0.27,0.66,0.084,44.4,140.7,0.9918,2.72,0.71,10.49,5
1958,White,8.25,0.37,0.5,0.6,0.023,12.9,102.1,0.9957,3.27,0.62,12.84,7
1959,White,5.96,0.08,0.46,4.32,0.066,10.2,161.5,0.9952,3.34,0.39,10.92,5
1960,White,5.61,0.26,0.44,9.68,0.017,13.7,113.2,0.9887,3.38,0.65,8.94,6
1961,White,4.98,0.3,0.32,3.21,0.04,27.9,222.2,0.9941,2.89,0.5,10.63,7
1962,White,8.3,0.41,0.21,3.99,0.047,23.2,150.0,0.9942,3.15,0.47,10.03,6
1963,White,6.51,0.39,0.36,3.97,0.02,39.7,225.8,0.9961,3.13,0.38,10.1,5
1964,White,7.08,0.08,0.2,0.6,0.009,37.5,192.8,0.9913,3.26,0.63,11.23,5
1965,White,7.57,0.1,0.3,7.78,0.031,40.6,163.7,0.9918,3.2,0.48,12.51,8
1966,White,6.59,0.34,0.4,7.39,0.041,10.1,212.7,0.9954,3.08,0.36,11.64,6
1967,White,7.34,0.09,0.36,12.68,0.053,29.6,132.9,0.9923,3.15,0.56,10.94,4
1968,White,6.81,0.24,0.52,6.55,0.009,73.6,141.5,0.9955,3.34,0.42,11.41,6
1969,White,7.03,0.21,0.16,7.51,0.04,44.3,74.6,0.9968,3.21,0.53,10.88,6
1970,White,6.66,0.33,0.37,5.54,0.028,59.0,121.8,0.9937,3.22,0.43,10.12,6
1971,White,4.52,0.36,0.37,11.45,0.015,32.4,92.4,0.9937,2.97,0.48,8.34,4
1972,White,6.11,0.28,0.34,3.94,0.064,12.4,145.0,0.9941,3.27,0.42,11.84,6
1973,White,8.37,0.33,0.56,6.94,0.015,47.4,171.6,0.9894,3.37,0.58,11.25,5
1974,White,5.88,0.32,0.49,8.49,0.021,34.6,107.6,0.9911,3.14,0.47,10.58,5
1975,White,6.26,0.2,0.28,13.21,0.049,48.6,145.2,0.9915,3.17,0.58,9.42,6
1976,White,6.91,0.23,0.48,6.46,0.074,31.8,102.7,1.0002,3.21,0.68,10.88,4
1977,White,6.14,0.11,0.44,0.6,0.055,42.4,119.8,0.9938,2.99,0.54,11.2,5
1978,White,7.82,0.27,0.25,7.59,0.041,33.5,149.6,0.9951,3.1,0.4,10.45,4
1979,White,5.34,0.08,0.1,6.41,0.026,40.8,110.9,0.9961,3.5,0.42,13.36,7
1980,White,7.01,0.46,0.32,5.83,0.069,34.3,209.8,0.993,3.06,0.46,11.03,4
1981,White,7.07,0.4,0.39,4.59,0.047,32.6,136.2,0.9933,3.24,0.7,9.53,5
1982,White,6.75,0.26,0.3,3.75,0.057,62.7,180.0,0.9999,3.31,0.63,14.2,6
1983,White,6.94,0.21,0.32,0.6,0.085,53.5,158.0,0.9959,3.33,0.49,11.7,7
1984,White,6.47,0.33,0.49,0.6,0.049,20.1,175.8,0.9924,3.28,0.44,9.37,5
1985,White,7.42,0.27,0.21,5.96,0.086,38.7,258.9,0.9942,3.23,0.36,9.53,6
1986,White,6.48,0.14,0.36,3.76,0.041,27.3,179.4,0.9958,3.43,0.35,11.55,6
1987,White,5.81,0.24,0.29,11.33,0.009,50.3,163.0,0.9907,3.37,0.42,14.16,8
1988,White,5.79,0.47,0.2,3.78,0.009,22.3,148.4,0.9972,3.35,0.64,11.08,6
1989,White,5.29,0.33,0.34,9.37,0.066,43.8,135.5,0.995,3.14,0.36,11.45,6
1990,White,9.22,0.19,0.53,13.16,0.076,18.3,85.1,0.9895,3.31,0.54,9.44,5
1991,White,7.22,0.14,0.41,2.29,0.029,56.4,140.7,0.9977,2.83,0.43,10.89,6
1992,White,5.47,0.24,0.49,8.16,0.07,8.8,129.4,0.9959,3.19,0.49,13.31,6
1993,White,7.47,0.21,0.29,7.62,0.014,39.3,101.8,0.9938,3.17,0.32,10.27,5
1994,White,6.45,0.26,0.24,11.56,0.032,55.1,107.4,0.9957,3.3,0.36,12.07,7
1995,White,6.26,0.15,0.46,0.61,0.009,47.2,89.7,0.9948,3.07,0.48,9.76,6
1996,White,5.0,0.39,0.25,4.94,0.017,34.7,108.4,0.9965,3.05,0.66,11.99,5
1997,White,8.71,0.15,0.33,8.7,0.06,20.9,198.0,0.9893,3.29,0.55,11.17,7
1998,White,6.92,0.27,0.09,15.08,0.009,33.1,162.3,0.991,3.06,0.62,13.02,6
1999,White,6.86,0.46,0.33,11.65,0.035,33.4,111.7,0.9899,3.3,0.53,10.71,5
2000,White,6.31,0.29,0.27,12.8,0.034,24.1,135.3,0.9959,3.04,0.57,10.66,5
2001,White,7.73,0.39,0.13,3.86,0.029,25.6,76.2,0.9935,2.97,0.44,11.11,6
2002,White,8.19,0.16,0.12,11.38,0.072,29.8,172.0,0.9925,3.15,0.29,10.73,7
2003,White,7.16,0.25,0.44,7.22,0.051,31.4,100.2,0.9904,3.28,0.25,12.07,7
2004,White,6.85,0.31,0.35,4.99,0.06,22.2,160.4,0.9886,3.26,0.61,11.25,6
2005,White,7.18,0.26,0.32,9.18,0.043,52.3,197.4,0.9899,3.32,0.58,11.97,5
2006,White,6.68,0.19,0.34,11.14,0.069,53.3,141.9,0.9907,3.48,0.54,10.04,6
2007,White,7.5,0.37,0.24,0.9,0.043,11.1,55.0,0.9937,3.12,0.37,10.9,6
2008,White,7.31,0.46,0.12,7.28,0.039,34.2,162.7,0.9934,3.17,0.47,11.09,6
2009,White,6.79,0.18,0.08,0.6,0.03,14.7,133.0,0.995,3.16,0.34,10.31,4
2010,White,5.06,0.28,0.5,6.49,0.07,40.5,197.5,0.9938,3.17,0.65,9.3,5
2011,White,7.72,0.42,0.14,5.26,0.032,40.2,163.7,0.9966,3.13,0.48,11.94,6
2012,White,6.55,0.32,0.5,16.11,0.054,36.0,151.1,0.9912,3.05,0.43,11.08,5
2013,White,7.56,0.22,0.34,2.76,0.023,33.3,161.4,0.995,3.27,0.38,11.89,7
2014,White,6.43,0.47,0.41,9.74,0.009,34.1,58.5,0.9952,3.29,0.64,10.39,5
2015,White,7.27,0.18,0.32,5.73,0.014,61.4,126.2,0.9969,2.94,0.48,11.41,5
2016,White,6.85,0.2,0.32,2.85,0.049,34.1,160.4,0.991,3.23,0.56,11.82,5
2017,White,7.78,0.2,0.28,8.41,0.009,31.0,139.2,0.9957,3.38,0.64,12.2,6
2018,White,7.96,0.27,0.24,0.67,0.055,57.9,98.5,0.9948,3.17,0.58,12.26,6
2019,White,7.82,0.14,0.23,7.26,0.05,53.2,128.9,0.9919,3.12,0.51,11.69,7
2020,White,8.25,0.39,0.21,3.55,0.044,11.0,148.5,0.992,2.75,0.43,11.86,6
2021,White,6.8,0.31,0.09,1.89,0.025,9.0,119.5,0.992,3.18,0.43,11.22,5
2022,White,5.87,0.26,0.44,0.6,0.009,60.1,142.6,1.0004,3.2,0.32,11.68,6
2023,White,6.5,0.24,0.16,6.07,0.05,48.9,146.9,0.9981,3.51,0.39,11.43,6
2024,White,6.81,0.33,0.33,7.27,0.013,35.5,120.7,0.9941,3.38,0.65,12.93,7
2025,White,7.39,0.33,0.38,0.6,0.024,19.5,86.2,0.9921,3.12,0.49,10.84,5
2026,White,8.36,0.17,0.27,4.9,0.039,27.7,125.3,0.9928,3.16,0.6,11.56,5
2027,White,7.07,0.24,0.24,8.13,0.077,65.7,165.2,0.9944,3.14,0.61,10.16,6
2028,White,6.74,0.39,0.43,7.41,0.042,31.9,188.0,0.9965,3.11,0.49,11.2,6
2029,White,6.94,0.39,0.32,14.35,0.065,45.5,171.4,0.9969,3.4,0.49,11.61,6
2030,White,7.01,0.25,0.15,10.4,0.034,63.8,210.0,0.9941,3.12,0.42,11.97,6
2031,White,7.06,0.14,0.34,8.21,0.07,35.7,108.5,0.9962,3.04,0.51,11.78,6
2032,White,8.15,0.33,0.43,0.6,0.059,27.8,75.3,0.9923,3.09,0.58,11.89,5
2033,White,6.29,0.45,0.37,6.87,0.029,53.1,70.0,0.9911,3.17,0.32,11.79,5
2034,White,6.65,0.42,0.35,5.02,0.047,43.7,126.9,1.0002,3.08,0.27,10.08,5
2035,White,4.68,0.32,0.3,10.34,0.015,37.6,102.6,0.9957,3.02,0.35,10.41,6
2036,White,7.0,0.19,0.44,6.95,0.039,22.4,132.6,0.9932,3.33,0.5,10.49,6
2037,White,8.02,0.22,0.71,9.76,0.009,64.6,123.8,0.9921,3.42,0.41,11.56,6
2038,White,7.19,0.37,0.54,1.61,0.026,44.4,210.1,0.9932,3.26,0.55,11.67,5
2039,White,5.56,0.26,0.24,6.5,0.034,32.8,180.1,0.9953,3.23,0.64,12.13,5
2040,White,5.02,0.29,0.2,9.74,0.071,26.6,92.4,0.9895,3.04,0.43,10.85,7
2041,White,7.34,0.23,0.31,0.66,0.011,59.8,146.4,0.9899,3.11,0.47,10.87,6
2042,White,5.7,0.19,0.36,0.6,0.093,51.5,184.9,0.9896,3.07,0.49,9.88,4
2043,White,7.49,0.09,0.61,3.45,0.052,21.6,157.1,0.9942,3.39,0.41,10.06,6
2044,White,6.12,0.43,0.27,10.98,0.059,11.1,164.6,0.995,3.04,0.6,9.12,4
2045,White,6.52,0.19,0.34,11.82,0.034,45.0,102.1,0.9951,3.47,0.49,9.96,6
2046,White,7.36,0.25,0.47,5.44,0.044,34.0,20.2,0.9919,3.74,0.41,11.34,6
2047,White,7.07,0.17,0.24,15.97,0.089,17.9,145.8,0.9975,3.17,0.52,12.17,6
2048,White,6.66,0.19,0.33,5.73,0.04,53.1,63.9,0.9944,3.33,0.49,9.64,5
2049,White,7.5,0.31,0.43,5.35,0.039,48.6,98.2,0.9962,2.95,0.51,10.8,7
2050,White,7.1,0.36,0.28,17.09,0.034,20.6,164.4,0.9919,3.23,0.22,9.85,5
2051,White,6.01,0.27,0.23,8.0,0.044,44.6,176.5,0.9979,3.11,0.57,12.09,7
2052,White,6.32,0.12,0.46,0.6,0.042,31.1,206.4,0.9916,3.05,0.52,10.67,6
2053,White,6.5,0.37,0.18,10.83,0.055,21.5,98.2,0.9945,3.02,0.51,10.48,6
2054,White,5.44,0.14,0.29,13.95,0.059,41.8,162.5,0.9944,3.15,0.22,12.29,8
2055,White,6.54,0.24,0.27,9.57,0.042,14.0,214.8,0.9986,2.98,0.39,11.76,6
2056,White,5.45,0.32,0.32,2.52,0.062,16.6,93.9,0.9958,3.25,0.44,10.7,5
2057,White,7.18,0.16,0.43,0.6,0.092,52.4,124.4,0.99,3.16,0.51,12.22,5
2058,White,7.23,0.34,0.37,9.2,0.095,52.0,88.0,0.9992,3.11,0.54,11.13,6
2059,White,6.46,0.16,0.41,5.96,0.047,19.1,141.8,0.9882,3.39,0.47,11.24,8
2060,White,8.63,0.29,0.4,13.64,0.063,48.8,150.5,0.9929,3.15,0.68,9.53,5
2061,White,7.15,0.29,0.19,0.6,0.046,31.1,198.3,0.9954,3.25,0.42,11.87,6
2062,White,7.43,0.26,0.29,5.49,0.074,31.2,101.9,0.999,3.12,0.4,12.37,8
2063,White,7.34,0.17,0.48,4.72,0.031,44.0,129.5,0.9959,3.24,0.52,12.17,7
2064,White,7.44,0.43,0.24,6.3,0.047,46.3,88.9,0.9937,3.2,0.42,10.85,6
2065,White,6.93,0.27,0.31,7.82,0.051,35.6,70.5,0.9957,3.49,0.5,11.22,4
2066,White,6.72,0.19,0.38,7.17,0.085,32.7,118.7,0.9981,2.94,0.46,9.59,6
2067,White,7.83,0.11,0.25,4.82,0.033,23.0,153.1,0.9903,3.06,0.54,9.72,5
2068,White,5.68,0.32,0.23,2.59,0.009,33.3,94.1,0.9913,2.97,0.64,11.46,5
2069,White,6.97,0.31,0.39,8.21,0.035,64.2,105.4,0.9944,3.15,0.65,11.31,6
2070,White,7.7,0.37,0.42,0.87,0.058,29.9,144.7,0.9885,3.29,0.52,9.0,5
2071,White,6.56,0.24,0.32,7.04,0.017,25.5,165.7,0.9936,3.5,0.6,11.13,5
2072,White,6.61,0.17,0.27,12.72,0.038,40.6,136.2,0.9923,3.24,0.36,11.76,8
2073,White,7.72,0.28,0.33,2.98,0.023,22.0,83.7,0.9856,3.22,0.58,11.0,5
2074,White,6.59,0.47,0.34,7.4,0.066,23.8,128.2,0.9915,3.19,0.48,11.46,5
2075,White,8.41,0.36,0.2,13.26,0.05,38.0,116.1,0.9961,3.09,0.43,12.59,7
2076,White,6.01,0.38,0.38,4.44,0.045,41.9,173.5,0.9943,3.22,0.43,11.51,5
2077,White,6.62,0.2,0.32,8.59,0.035,29.7,166.7,0.9899,3.34,0.43,10.53,5
2078,White,6.86,0.32,0.52,0.6,0.095,88.0,121.9,0.9948,3.19,0.44,9.94,5
2079,White,7.28,0.3,0.14,7.18,0.058,23.8,129.9,0.9951,2.89,0.36,10.82,6
2080,White,5.94,0.15,0.24,4.47,0.072,19.1,140.1,0.9932,3.02,0.53,10.39,5
2081,White,6.8,0.14,0.26,3.32,0.058,42.3,88.7,0.999,3.43,0.61,12.05,6
2082,White,6.64,0.24,0.47,3.88,0.009,65.4,89.7,0.9902,3.44,0.5,11.94,5
2083,White,5.54,0.27,0.16,4.3,0.026,40.1,159.7,0.9888,3.13,0.61,11.29,6
2084,White,7.26,0.22,0.37,8.26,0.05,45.8,160.5,0.9919,2.99,0.42,9.61,6
2085,White,7.32,0.3,0.53,12.6,0.081,36.4,161.5,0.9943,3.11,0.31,11.34,7
2086,White,7.58,0.08,0.32,18.95,0.043,39.9,169.7,0.9938,3.26,0.62,13.59,7
2087,White,6.75,0.3,0.35,6.08,0.046,29.7,123.1,0.9932,3.1,0.35,11.5,6
2088,White,7.51,0.36,0.27,6.9,0.047,19.9,219.5,0.9889,3.25,0.39,10.7,6
2089,White,7.87,0.27,0.23,4.01,0.034,50.6,187.0,0.9917,2.98,0.62,10.94,6
2090,White,6.44,0.14,0.24,1.57,0.028,29.8,137.9,0.9921,3.41,0.38,12.12,7
2091,White,5.99,0.24,0.51,4.99,0.067,21.5,182.1,0.9935,3.26,0.61,12.22,5
2092,White,7.77,0.23,0.33,1.12,0.022,23.4,92.0,0.9926,3.24,0.44,10.72,5
2093,White,7.64,0.29,0.44,4.24,0.04,16.8,186.4,0.9909,3.17,0.55,11.94,6
2094,White,7.27,0.37,0.23,6.04,0.072,42.8,171.1,0.9936,3.33,0.52,12.17,5
2095,White,7.7,0.26,0.42,15.11,0.07,22.2,182.8,0.9909,2.97,0.3,10.48,5
2096,White,6.69,0.22,0.42,5.27,0.042,16.1,71.8,0.9947,3.21,0.54,12.48,6
2097,White,7.32,0.08,0.53,10.3,0.072,25.2,229.3,0.9956,3.19,0.48,10.77,7
2098,White,6.77,0.27,0.14,18.3,0.057,5.7,173.3,0.996,3.46,0.34,11.1,5
2099,White,6.01,0.27,0.44,4.25,0.052,47.8,169.2,0.996,3.37,0.58,11.53,5
2100,White,7.03,0.34,0.24,11.21,0.022,42.3,95.3,0.9946,3.17,0.64,11.97,6
2101,White,6.41,0.25,0.38,1.32,0.04,43.1,139.5,0.9886,3.36,0.52,11.6,8
2102,White,6.17,0.4,0.09,18.95,0.053,54.3,100.6,0.9919,3.16,0.41,11.47,6
2103,White,6.63,0.16,0.39,12.62,0.029,28.2,82.8,0.9934,3.27,0.43,10.88,6
2104,White,7.4,0.4,0.31,7.62,0.019,49.4,144.9,0.9962,3.15,0.45,11.14,6
2105,White,8.07,0.34,0.33,1.73,0.097,11.8,142.8,0.9937,3.36,0.67,11.08,6
2106,White,6.39,0.2,0.32,4.85,0.092,55.6,122.3,0.9897,3.15,0.48,10.1,5
2107,White,7.55,0.47,0.38,2.72,0.053,36.5,104.2,0.9957,3.24,0.42,12.04,7
2108,White,7.6,0.25,0.59,14.1,0.024,28.1,150.2,0.9954,3.22,0.57,11.74,6
2109,White,7.91,0.27,0.32,6.38,0.032,36.2,129.2,0.994,3.36,0.45,11.4,6
2110,White,8.12,0.27,0.13,7.28,0.059,28.2,73.4,0.9996,2.96,0.45,10.49,6
2111,White,6.49,0.17,0.22,7.13,0.053,26.2,184.4,0.9922,3.15,0.34,9.0,5
2112,White,7.5,0.25,0.29,6.73,0.059,24.4,184.1,0.999,3.17,0.38,12.61,6
2113,White,6.29,0.27,0.34,0.6,0.038,77.3,133.0,0.9927,3.34,0.52,10.49,6
2114,White,6.41,0.18,0.0,15.03,0.034,51.4,106.5,0.9918,3.04,0.57,8.0,3
2115,White,7.06,0.19,0.25,6.52,0.023,27.4,148.2,0.9933,3.14,0.72,10.62,5
2116,White,6.91,0.32,0.25,4.34,0.051,14.2,139.7,0.9974,3.05,0.4,9.87,5
2117,White,7.39,0.28,0.17,1.91,0.064,51.9,125.2,0.9945,3.21,0.42,10.18,6
2118,White,7.43,0.47,0.38,15.38,0.039,12.6,131.7,0.9921,3.13,0.54,13.05,8
2119,White,7.42,0.3,0.38,9.35,0.031,2.3,139.8,0.9913,3.14,0.59,9.81,5
2120,White,7.12,0.25,0.15,6.48,0.063,38.0,202.3,0.9947,2.88,0.64,11.78,6
2121,White,5.34,0.2,0.39,0.69,0.025,38.4,167.4,0.9966,2.99,0.56,11.15,7
2122,White,6.45,0.37,0.45,10.39,0.048,18.7,108.6,0.9974,3.16,0.42,11.2,7
2123,White,6.7,0.3,0.28,2.43,0.018,33.7,83.2,0.9942,3.11,0.56,10.73,7
2124,White,7.43,0.15,0.56,15.03,0.069,44.7,116.6,0.9967,3.41,0.42,10.25,5
2125,White,5.49,0.13,0.33,1.22,0.045,65.2,172.1,0.9919,2.88,0.22,11.36,5
2126,White,8.64,0.29,0.41,1.47,0.041,49.6,162.5,0.9928,3.46,0.5,10.56,6
2127,White,6.62,0.24,0.46,4.04,0.082,36.8,206.1,0.9948,3.25,0.38,8.94,4
2128,White,7.02,0.24,0.29,6.41,0.068,19.9,163.3,0.9932,3.51,0.34,10.7,5
2129,White,6.29,0.32,0.5,2.95,0.009,25.4,173.7,0.9965,3.4,0.39,10.65,6
2130,White,7.28,0.31,0.2,7.5,0.037,41.8,83.1,0.9976,3.02,0.5,10.15,5
2131,White,7.18,0.36,0.44,10.16,0.009,48.0,99.5,0.9957,3.15,0.41,9.73,5
2132,White,8.19,0.46,0.37,5.79,0.009,11.4,73.3,0.9954,3.19,0.81,11.19,5
2133,White,7.59,0.23,0.45,13.09,0.024,42.1,155.9,0.9929,3.43,0.36,11.89,5
2134,White,6.34,0.41,0.47,12.73,0.061,19.0,172.4,0.9898,3.27,0.35,11.67,6
2135,White,7.8,0.45,0.55,2.49,0.048,23.8,159.8,0.9857,3.23,0.46,10.76,5
2136,White,6.8,0.27,0.22,0.6,0.038,30.8,91.1,0.9985,3.01,0.5,11.37,6
2137,White,6.82,0.27,0.29,8.67,0.063,29.4,113.9,0.9949,2.73,0.4,10.36,6
2138,White,6.87,0.19,0.45,2.46,0.075,19.3,91.0,0.9946,3.26,0.52,9.62,5
2139,White,6.54,0.35,0.41,0.6,0.032,21.2,176.7,0.9926,3.04,0.41,11.16,6
2140,White,5.79,0.1,0.14,7.58,0.037,23.2,66.7,0.9946,3.32,0.32,11.46,7
2141,White,7.51,0.17,0.34,0.6,0.024,47.6,207.0,0.997,3.13,0.43,9.57,4
2142,White,6.46,0.23,0.42,0.6,0.023,43.0,168.3,0.9894,3.09,0.62,11.73,6
2143,White,7.21,0.36,0.44,0.6,0.04,24.4,176.8,0.9941,3.31,0.47,9.94,6
2144,White,5.84,0.33,0.43,11.23,0.034,17.9,137.7,0.9943,3.11,0.56,11.76,6
2145,White,7.68,0.18,0.37,2.79,0.046,21.6,220.3,0.9887,3.31,0.41,10.57,5
2146,White,5.43,0.35,0.32,7.38,0.042,57.6,140.3,0.9908,3.15,0.26,12.24,6
2147,White,7.96,0.35,0.33,8.04,0.039,30.2,96.3,0.9948,3.16,0.47,11.69,6
2148,White,6.81,0.22,0.26,11.28,0.058,8.5,102.7,0.9934,3.26,0.47,10.79,5
2149,White,5.9,0.19,0.34,9.53,0.019,34.3,184.6,0.995,3.1,0.49,11.08,6
2150,White,7.9,0.31,0.55,8.77,0.056,74.3,137.7,0.993,3.22,0.58,10.45,5
2151,White,5.81,0.37,0.22,6.58,0.046,47.1,99.7,0.9936,3.23,0.44,11.32,6
2152,White,6.48,0.33,0.45,0.6,0.079,48.6,104.8,0.9949,3.25,0.55,12.46,5
2153,White,5.73,0.46,0.22,0.6,0.065,33.2,158.4,0.9937,3.23,0.57,9.95,7
2154,White,7.48,0.23,0.23,2.77,0.053,24.9,179.4,0.9941,3.28,0.37,9.31,4
2155,White,6.69,0.15,0.33,3.21,0.033,51.9,158.2,0.993,3.38,0.38,11.01,5
2156,White,7.7,0.48,0.4,0.6,0.039,25.3,229.9,0.9937,3.41,0.38,11.89,7
2157,White,6.08,0.35,0.44,7.57,0.039,49.3,49.3,0.9905,3.09,0.48,11.7,6
2158,White,6.3,0.26,0.47,12.47,0.044,27.6,116.9,0.9917,3.45,0.71,11.14,5
2159,White,8.81,0.23,0.5,9.47,0.073,47.5,165.5,0.9963,3.28,0.61,11.53,6
